#time,V_x,k,SlipAngle,LateralForce,DynamicS,AbsVy,
1,[0.],10000,0.0,0.0,[0.]
2,[-4.58984125e-05],10000,[-0.],0.0,[0.]
3,[0.00032784],10000,[0.],0.0,[0.]
4,[0.00030223],10000,[0.],0.0,[0.]
5,[0.00024823],10000,[0.],0.0,[0.]
6,[0.00020072],10000,[0.],0.0,[0.]
7,[0.00016193],10000,[0.],0.0,[0.]
8,[0.0001306],10000,[0.],0.0,[0.]
9,[0.00010534],10000,[0.],0.0,[0.]
10,[8.49761728e-05],10000,[0.],0.0,[0.]
11,[6.85553366e-05],10000,[0.],0.0,[0.]
12,[5.53149909e-05],10000,[0.],0.0,[0.]
13,[4.46382766e-05],10000,[0.],0.0,[0.]
14,[3.60280914e-05],10000,[0.],0.0,[0.]
15,[2.90838222e-05],10000,[0.],0.0,[0.]
16,[2.34825982e-05],10000,[0.],0.0,[0.]
17,[1.89641904e-05],10000,[0.],0.0,[0.]
18,[1.53188474e-05],10000,[0.],0.0,[0.]
19,[1.23774962e-05],10000,[0.],0.0,[0.]
20,[1.00038461e-05],10000,[0.],0.0,[0.]
21,[8.08802769e-06],10000,[0.],0.0,[0.]
22,[6.54146638e-06],10000,[0.],0.0,[0.]
23,[5.29275132e-06],10000,[0.],0.0,[0.]
24,[4.28430646e-06],10000,[0.],0.0,[0.]
25,[3.46970761e-06],10000,[0.],0.0,[0.]
26,[2.81152008e-06],10000,[0.],0.0,[0.]
27,[2.27955595e-06],10000,[0.],0.0,[0.]
28,[1.8494694e-06],10000,[0.],0.0,[0.]
29,[1.50162449e-06],10000,[0.],0.0,[0.]
30,[1.2201826e-06],10000,[0.],0.0,[0.]
31,[9.92366757e-07],10000,[0.],0.0,[0.]
32,[8.07868691e-07],10000,[0.],0.0,[0.]
33,[6.58370803e-07],10000,[0.],0.0,[0.]
34,[5.37160814e-07],10000,[0.],0.0,[0.]
35,[4.38821108e-07],10000,[0.],0.0,[0.]
36,[4.38821108e-07],10000,[0.],0.0,[0.]
37,[4.38821108e-07],10000,[0.],0.0,[0.]
38,[4.38821108e-07],10000,[0.],0.0,[0.]
39,[4.38821108e-07],10000,[0.],0.0,[0.]
40,[4.38821108e-07],10000,[0.],0.0,[0.]
41,[4.38821108e-07],10000,[0.],0.0,[0.]
42,[4.38821108e-07],10000,[0.],0.0,[0.]
43,[4.38821108e-07],10000,[0.],0.0,[0.]
44,[4.38821108e-07],10000,[0.],0.0,[0.]
45,[4.38821108e-07],10000,[0.],0.0,[0.]
46,[4.38821108e-07],10000,[0.],0.0,[0.]
47,[4.38821108e-07],10000,[0.],0.0,[0.]
48,[4.38821108e-07],10000,[0.],0.0,[0.]
49,[4.38821108e-07],10000,[0.],0.0,[0.]
50,[4.38821108e-07],10000,[0.],0.0,[0.]
51,[4.38821108e-07],10000,[0.],0.0,[0.]
52,[4.38821108e-07],10000,[0.],0.0,[0.]
53,[4.38821108e-07],10000,[0.],0.0,[0.]
54,[4.38821108e-07],10000,[0.],0.0,[0.]
55,[4.38821108e-07],10000,[0.],0.0,[0.]
56,[4.38821108e-07],10000,[0.],0.0,[0.]
57,[4.38821108e-07],10000,[0.],0.0,[0.]
58,[4.38821108e-07],10000,[0.],0.0,[0.]
59,[4.38821108e-07],10000,[0.],0.0,[0.]
60,[4.38821108e-07],10000,[0.],0.0,[0.]
61,[4.38821108e-07],10000,[0.],0.0,[0.]
62,[4.38821108e-07],10000,[0.],0.0,[0.]
63,[4.38821108e-07],10000,[0.],0.0,[0.]
64,[4.38821108e-07],10000,[0.],0.0,[0.]
65,[4.38821108e-07],10000,[0.],0.0,[0.]
66,[4.38821108e-07],10000,[0.],0.0,[0.]
67,[4.38821108e-07],10000,[0.],0.0,[0.]
68,[4.38821108e-07],10000,[0.],0.0,[0.]
69,[4.38821108e-07],10000,[0.],0.0,[0.]
70,[4.38821108e-07],10000,[0.],0.0,[0.]
71,[4.38821108e-07],10000,[0.],0.0,[0.]
72,[4.38821108e-07],10000,[0.],0.0,[0.]
73,[4.38821108e-07],10000,[0.],0.0,[0.]
74,[4.38821108e-07],10000,[0.],0.0,[0.]
75,[4.38821108e-07],10000,[0.],0.0,[0.]
76,[4.38821108e-07],10000,[0.],0.0,[0.]
77,[4.38821108e-07],10000,[0.],0.0,[0.]
78,[4.38821108e-07],10000,[0.],0.0,[0.]
79,[4.38821108e-07],10000,[0.],0.0,[0.]
80,[4.38821108e-07],10000,[0.],0.0,[0.]
81,[4.38821108e-07],10000,[0.],0.0,[0.]
82,[4.38821108e-07],10000,[0.],0.0,[0.]
83,[4.38821108e-07],10000,[0.],0.0,[0.]
84,[4.38821108e-07],10000,[0.],0.0,[0.]
85,[4.38821108e-07],10000,[0.],0.0,[0.]
86,[4.38821108e-07],10000,[0.],0.0,[0.]
87,[4.38821108e-07],10000,[0.],0.0,[0.]
88,[4.38821108e-07],10000,[0.],0.0,[0.]
89,[4.38821108e-07],10000,[0.],0.0,[0.]
90,[4.38821108e-07],10000,[0.],0.0,[0.]
91,[4.38821108e-07],10000,[0.],0.0,[0.]
92,[4.38821108e-07],10000,[0.],0.0,[0.]
93,[4.38821108e-07],10000,[0.],0.0,[0.]
